DataType,DataN,C,BuildTime,SearchTime,Memory
Words,100,3,2.15,0.001,116
Words,500,3,5.125,0.001,160
Words,1000,3,9.494,0.001,236
Words,1500,3,5.881,0.001,288
Words,2500,3,13.569,0.001,496
Words,4000,3,22.446,0.001,660
