DataType,DataN,C,Bound,BuildTime,SearchTime,Memory
Vectors,100,1,5,2.078,0,184
Vectors,500,1,5,6.887,0,396
Vectors,1000,1,5,14.48,0,468
Vectors,1500,1,5,33.21,0,680
Vectors,2500,1,5,44.604,0.001,1320
Vectors,4000,1,5,69.931,0.001,1328
