DataType,DataN,C,Bound,BuildTime,SearchTime,Memory
Vectors,100,1,3,2.492,0.001,168
Vectors,500,1,3,7.934,0,324
Vectors,1000,1,3,11.27,0,500
Vectors,1500,1,3,15.354,0,584
Vectors,2500,1,3,43.86,0.001,1008
Vectors,4000,1,3,65.166,0.001,1508
