DataType,DataN,C,Bound,BuildTime,SearchTime,Memory
Words,100,2,5,1.306,0.001,144
Words,500,2,5,4.771,0.001,160
Words,1000,2,5,9.301,0.001,204
Words,1500,2,5,13.918,0.001,260
Words,2500,2,5,24.239,0.001,520
Words,4000,2,5,67.264,0.001,1128
