DataType,DataN,C,Bound,BuildTime,SearchTime,Memory
Numbers,100,1,4,0.669,0,88
Numbers,500,1,4,2.11,0,100
Numbers,1000,1,4,5.525,0,212
Numbers,1500,1,4,5.275,0,252
Numbers,2500,1,4,8.852,0,256
Numbers,4000,1,4,22.538,0,500
