DataType,DataN,C,BuildTime,SearchTime,Memory
Vectors,100,3,1.084,0,148
Vectors,500,3,6.454,0,388
Vectors,1000,3,9.167,0,532
Vectors,1500,3,12.685,0,644
Vectors,2500,3,26.334,0.001,896
Vectors,4000,3,40.494,0,1940
