DataType,DataN,C,BuildTime,SearchTime,Memory
Words,100,2,1.823,0.001,156
Words,500,2,6.978,0.001,248
Words,1000,2,10.963,0.001,340
Words,1500,2,14.303,0,576
Words,2500,2,26.215,0.001,896
Words,4000,2,39.16,0.001,1080
