DataType,DataN,C,BuildTime,SearchTime,Memory
Words,100,1,1.615,0.001,168
Words,500,1,7.068,0.001,372
Words,1000,1,14.376,0.001,596
Words,1500,1,23.021,0.001,748
Words,2500,1,39.676,0.001,788
Words,4000,1,64.59,0.001,2280
